timestamp,open,high,low,close
2009-07-10,227.4,228.93,226.39,228.59
2009-07-13,227.56,229.19,225.82,228.77
2009-07-14,232.39,233.13,230.75,231.83
2009-07-15,235.49,237.05,234.88,235.62
2009-07-16,234.38,237.48,233.94,237.37
2009-07-17,236.85,241.91,236.24,241.24
2009-07-20,244.55,244.7,240.85,243.92
2009-07-21,243.33,246.29,240.82,242.42
2009-07-22,241.7,244.83,240.28,243.91
2009-07-23,243.85,247.78,243.06,246.92
2009-07-24,247.41,248.29,246.29,247.32
2009-07-27,248.81,249.07,246.79,248.11
2009-07-28,247.96,248.61,244.02,245.71
2009-07-29,242.62,243.67,238.42,239.62
2009-07-30,242.96,249.19,242.82,249.02
2009-07-31,250.42,253.83,246.32,253.66
2009-08-03,260.4,264.34,259.65,263.24
2009-08-04,260.32,265.75,259.93,264.29
2009-08-05,265.74,266.79,263.14,266.59
2009-08-06,265.32,266.02,259.96,261.54
2009-08-07,261.19,264.82,260.66,261.23
2009-08-10,262.52,263.12,259.63,260.32
2009-08-11,262.15,262.32,257.3,258.41
2009-08-12,257.56,262.33,257.09,261.31
2009-08-13,266.33,266.98,262.62,262.68
2009-08-14,262.65,262.8,255.4,255.76
2009-08-17,250.12,251.38,248.38,251.07
2009-08-18,252.18,253.35,249.26,252.92
2009-08-19,250.52,255.73,248.72,255.27
2009-08-20,255.48,255.81,252.22,252.66
2009-08-21,255.72,257.68,255.29,255.92
2009-08-24,257.4,258.98,256.63,258.26
2009-08-25,257.45,258.43,253.43,254.59
2009-08-26,254.64,254.73,252.03,253.78
2009-08-27,253.46,254.46,250.61,254.2
2009-08-28,257.48,258.11,254.93,256.44
2009-08-31,253.55,253.57,250.19,252.19
2009-09-01,251.44,254.24,247.57,247.71
2009-09-02,246.77,248.81,245.38,247.92
2009-09-03,250.66,250.66,246.81,247.94
2009-09-04,247.45,248.05,244.64,246.6
2009-09-08,251.37,254.09,251.11,251.66
2009-09-09,252.42,253.93,251.37,251.48
2009-09-10,250.52,252.69,248.41,252.49
2009-09-11,253.48,255.54,247.65,248.33
2009-09-14,246.58,249.23,245.98,248.96
2009-09-15,250.77,254.93,249.32,253.93
2009-09-16,255.32,260.02,255.23,259.86
2009-09-17,259.62,260.92,257.86,258.67
2009-09-18,257.37,258.29,255.47,255.8
2009-09-21,253.04,253.07,250.46,251.17
2009-09-22,254.74,256.08,253.39,255.49
2009-09-23,253.92,254.27,251.15,253.04
2009-09-24,251.64,252.32,246.3,248.11
2009-09-25,248.66,249.19,246.11,247.49
2009-09-28,246.55,249.57,246.11,248.35
2009-09-29,247.9,250,246.72,249
2009-09-30,251.25,256.19,248.57,256.15
2009-10-02,248.66,251.13,246.32,249.11
2009-10-05,248.75,253.2,247.35,251.87
2009-10-06,255.37,258.63,254.86,255.8
2009-10-07,256.36,258.16,253.99,255.11
